dataset,record_id,block_mode,gamma,m_star,G_star,purity_rule,n_recurrence_control_pairs,recurrence_rejections,recurrence_rejection_rate,n_alt_pairs,alt_rejections,power,graph_density,n_clique_groups,n_cc_groups,overlap_fraction,edge_jaccard_30db,elapsed_sec,arm
ISP,8,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,1,0.2,0,0,,0.7142857142857143,3,2,0.625,0.9523809523809523,218.5466558933258,R1_Oracle
ISP,8,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.75,2,2,0.0,1.0,221.81874632835388,N003a
ISP,9,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.10714285714285714,6,6,0.0,1.0,197.3524568080902,R0_Kors
ISP,9,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,1,0.3333333333333333,0,0,,0.10714285714285714,6,5,0.125,0.4,176.9644947052002,N002
ISP,9,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.2,4,4,0.0,0.0,298.46499371528625,R1_Oracle
ISP,8,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,1.0,1,1,0.0,1.0,1105.0200130939484,N002
ISP,9,attribute_kmeans,1.0,128,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,1.0,1,1,0.0,1.0,1172.904357433319,N003a
ISP,10,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,2,2,0.0,0.75,1093.9993319511414,R0_Kors
ISP,10,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.6666666666666666,2,1,0.25,0.0,989.0185625553131,R1_Oracle
ISP,10,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,2,2,0.0,0.1875,1151.505805015564,N002
ISP,11,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.8928571428571429,2,1,0.5,1.0,224.28066110610962,R0_Kors
ISP,11,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.8214285714285714,3,1,0.75,0.6071428571428571,228.54927372932434,R1_Oracle
ISP,11,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.6785714285714286,3,1,0.875,0.6956521739130435,241.4861443042755,N002
ISP,11,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,1,0.2,0,0,,0.7857142857142857,3,1,1.0,0.9130434782608695,236.51347494125366,N003a
ISP,10,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,2,2,0.0,0.2857142857142857,572.9583704471588,N003a
ISP,12,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.8333333333333334,2,1,0.5,0.6,523.7039592266083,R0_Kors
ISP,12,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.21428571428571427,4,3,0.125,1.0,241.890442609787,N003a
ISP,12,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,2,2,0.0,1.0,507.7579302787781,R1_Oracle
ISP,12,attribute_kmeans,1.0,128,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.8333333333333334,2,1,0.5,0.8333333333333334,497.67422246932983,N002
ISP,13,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,1,0.3333333333333333,0,0,,0.8333333333333334,2,1,0.5,0.3333333333333333,606.7967898845673,R0_Kors
ISP,13,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,2,2,0.0,1.0,606.4486668109894,R1_Oracle
ISP,13,attribute_kmeans,1.0,128,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,2,2,0.0,1.0,584.1028215885162,N002
ISP,13,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,2,2,0.0,1.0,631.321995973587,N003a
ISP,14,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.2857142857142857,4,3,0.25,0.7777777777777778,239.25514030456543,R1_Oracle
ISP,14,attribute_kmeans,1.0,128,8,exact_phase_and_beat_membership,12,1,0.08333333333333333,0,0,,0.6428571428571429,3,1,0.625,0.35,419.8014826774597,R0_Kors
ISP,14,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.7857142857142857,3,1,0.625,0.6153846153846154,239.27294969558716,N003a
ISP,14,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,0.2857142857142857,264.48771953582764,N002
ISP,15,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.21428571428571427,5,3,0.125,0.0,218.78186058998108,R1_Oracle
ISP,15,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,1.0,1,1,0.0,1.0,505.91326379776,R0_Kors
ISP,15,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,1,0,0.0,2,2,1.0,0.39285714285714285,5,2,0.25,0.3076923076923077,192.30072498321533,N002
ISP,15,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,4,0,0.0,0,0,,0.7142857142857143,3,2,0.625,0.9523809523809523,305.00267577171326,N003a
ISP,16,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,1.0,1,1,0.0,1.0,563.4348812103271,R0_Kors
ISP,16,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.8333333333333334,2,1,0.5,0.6,720.1185324192047,N002
ISP,16,attribute_kmeans,1.0,128,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,1.0,1,1,0.0,0.19230769230769232,688.7186007499695,R1_Oracle
ISP,16,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.9333333333333333,2,1,0.6666666666666666,0.2857142857142857,1013.0812563896179,N003a
