dataset,model_id,target,mae,pearson_r,r2,bland_bias,loa_low,loa_high,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,f1,sens,spec,ppv,npv,adj_or,adj_or_ci_low,adj_or_ci_high,pval_logistic,fisher_pval,evaluation_version
echonext,f_1000012_s42,Signal_Lead_aVF,0.374839208125757,0.5014327260962588,0.1549687932848465,-0.0022824892766568,-1.3910515799319847,1.386486601378671,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000012_s42,Signal_Lead_aVL,0.3865870190998209,0.4760067029121562,0.1241443312967686,0.0407607865449705,-1.4226688148385125,1.5041903879284535,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000012_s42,Signal_Lead_aVR,0.4134768506741474,0.7872324436008619,0.3358135586813752,-0.063573486737152,-1.4468229827350214,1.3196760092607174,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,QRS_Overall,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.3929088526310704e-66,legacy_v1
echonext,f_1000013_s42,Signal_Lead_I,0.0,0.9999999417641466,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_II,0.0,0.999999948234797,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_III,0.3536485011353,0.266652706399874,0.0381854683039806,0.0156512162049887,-1.4329760913811187,1.464278523791096,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_V1,0.3737959154183531,0.4815657764849679,0.1359082449715029,0.1500384023533123,-1.324838887594051,1.6249156923006758,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_V2,0.0,0.99999994674157,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_V3,0.373070699079176,0.6682738784084773,0.3061940024923655,-0.143748037646519,-1.387226477928635,1.099730402635597,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_V4,0.3413705298665421,0.662768454662532,0.3188483369112493,0.0492571417386304,-1.2518306748778083,1.3503449583550693,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_V5,0.3396336954779192,0.6324797375848281,0.2725643519415327,0.014113275582624,-1.3585489022940405,1.3867754534592889,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_V6,0.3462634581940284,0.6778031665790973,0.2410526793413845,-0.0233471945958913,-1.445574247083091,1.3988798578913082,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_aVF,0.3681178261333442,0.4763948199271343,0.1364014715130527,-0.055804598410858,-1.4609072999526334,1.349298103130917,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_aVL,0.4116860409432513,0.4545881793823818,0.1103516523077257,0.0763346935986693,-1.4010120620377162,1.5536814492350548,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000013_s42,Signal_Lead_aVR,0.419149018668556,0.791556940353738,0.3217727224769337,-0.0619305864719135,-1.4564857506542737,1.3326245777104466,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,QRS_Overall,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.3929088526310704e-66,legacy_v1
echonext,f_1000014_s42,Signal_Lead_I,0.0,0.9999999417641466,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_II,0.0,0.999999948234797,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_III,0.3541326756221641,0.2700417814054477,0.0378295123163568,0.0165375248761923,-1.4321233424282265,1.465198392180611,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_V1,0.3697083013478301,0.4984908685227175,0.149050553320682,0.1380137687548144,-1.3249438455514295,1.6009713830610584,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_V2,0.0,0.99999994674157,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_V3,0.3631427626520209,0.6746080396054697,0.3227785487688752,-0.1370092732270417,-1.3532079172332818,1.0791893707791982,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_V4,0.3286839313182925,0.672195622247548,0.3383737705418958,0.0409892044019922,-1.2272109661040254,1.3091893749080097,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_V5,0.3303103382953896,0.6613747962062818,0.3063086402183387,0.0092515541510087,-1.3200153054810622,1.3385184137830797,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_V6,0.3394316889983378,0.6845755580071912,0.2695440636282198,-0.0205910740526885,-1.415060047740459,1.3738778996350816,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_aVF,0.3708101549343301,0.4544871926476833,0.1291831775455189,-0.0533270898389586,-1.4594771618493831,1.352822982171466,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_aVL,0.4066579958777835,0.4647206022680711,0.1169048458977195,0.0723618196094389,-1.3972624804906726,1.5419861197095504,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000014_s42,Signal_Lead_aVR,0.4118625087224118,0.7866802301086749,0.3307918065172308,-0.0533882137727333,-1.4398846637806284,1.3331082362351618,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000100_s42,QRS_Overall,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.3929088526310704e-66,legacy_v1
echonext,f_1000100_s42,Signal_Lead_I,0.0,0.9999999417641466,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
