family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n
unet,ecgfounder_auroc,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,0.00039636807453752434,-0.0001565349476542309,0.0010096329823894522,2198
unet,ecgfounder_auroc,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,-0.00204992134724952,-0.010112562709489993,0.006079425962674568,2198
unet,ecgfounder_auroc,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,0.0008614298016550449,0.00024108198615915697,0.001551542049445496,2198
unet,ecgfounder_auroc,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,0.0008187598387220382,-0.00028780045709417534,0.0020168953873256476,2198
unet,ecgfounder_auroc,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,0.009220024288668967,-0.006537133725993794,0.025264546380006647,2198
unet,ecgfounder_auroc,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,0.0017199748774776613,0.0004687960601924936,0.003081165435926538,2198
unet,ecgfounder_auroc,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,-0.0012497916882797686,-0.002691306118269052,0.00013836296168759078,2198
unet,ecgfounder_auroc,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,-0.0024831636468294186,-0.005391645677949045,0.0002287912015494243,2198
msvae,mse,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.006013406568216354,-0.00650574389382019,-0.005595209939119423,2198
msvae,mse,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-5.4450854586122315e-05,-0.00017621935398436277,7.112516419495212e-05,2198
msvae,mse,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-6.224269614255376e-07,-1.7835329234081168e-05,1.682172147107745e-05,2198
msvae,mse,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-1.2333953670992747e-05,-2.5712786511582222e-05,1.318477749328369e-06,2198
msvae,mse,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0007450188075826678,-0.0010034833320854883,-0.0004956307130717837,2198
msvae,mse,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-3.065481793267391e-05,-6.54120763308638e-05,1.7767576823244614e-06,2198
msvae,mse,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,6.566338495037191e-05,4.322315059673633e-05,9.093318131885037e-05,2198
msvae,mse,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,3.543695763253045e-06,-2.9990141942391247e-05,3.883039464532681e-05,2198
msvae,mse,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-8.959211967467077e-05,-0.00011653331283727535,-6.51447203479023e-05,2198
msvae,mse,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-6.811513679327267e-05,-8.527596738180219e-05,-5.061572591963073e-05,2198
msvae,mse,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,5.684521880957999e-05,-1.566870625533842e-05,0.00013132870644082207,2198
msvae,mse,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00011301330711853159,6.35617221185324e-05,0.00016610512067204684,2198
msvae,mse,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00015050022388769023,0.00011633360969356668,0.00019432129307063876,2198
msvae,mse,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-1.9591559151851074e-05,-5.714812642945781e-05,1.7295465505015543e-05,2198
msvae,mse,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,7.371777696454485e-05,4.556280241462338e-06,0.00014526080327272438,2198
msvae,r2,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.21768688855420534,0.21159288688227934,0.22397746837784827,2198
msvae,r2,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0034192576839382977,-0.007610014724815143,0.0005215421697241521,2198
msvae,r2,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.00861583401490893,-0.009326520611927824,-0.007942334430700545,2198
msvae,r2,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.0072382178368008004,0.006553389045649012,0.008073677382918355,2198
msvae,r2,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.03778694711424683,0.029800485737322593,0.04567331908200888,2198
msvae,r2,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.01864555495564927,0.01725342018154714,0.02011760139033351,2198
msvae,r2,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.014475052932926558,-0.016076209863603478,-0.013073610289013503,2198
msvae,r2,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.01682219133295576,-0.01825998093990053,-0.015448411340317823,2198
msvae,r2,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.012745129100747345,0.011512220363143262,0.014204520513992694,2198
msvae,r2,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.010607847167115748,-0.011351122550371729,-0.009918812222708321,2198
msvae,r2,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.03302073667905407,0.030275277507301565,0.03592378654551544,2198
msvae,r2,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.023766717342679957,-0.026848554256527574,-0.021329483726627352,2198
msvae,r2,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.02143777248811793,0.02000454345874961,0.022986085421378668,2198
msvae,r2,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.025534864861054815,-0.027121442929369344,-0.02404219753452577,2198
msvae,r2,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.05204058299503171,0.048895993685564784,0.055318205331408396,2198
msvae,pearson,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.07517321789476197,0.07343323184011218,0.07682232313055169,2198
msvae,pearson,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.03147932323707679,0.030385611699433903,0.03263354161659695,2198
msvae,pearson,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0009023430363170877,-0.00101281190498208,-0.00079124263721213,2198
msvae,pearson,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.0001954795068995968,8.779897744002153e-05,0.00030324427977321077,2198
msvae,pearson,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.04373483169989981,-0.045795007666907764,-0.04174690313873377,2198
msvae,pearson,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.002044585493611031,0.0018183826470036777,0.0022542624870059203,2198
msvae,pearson,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0006242925140183008,-0.0008459983059651033,-0.00039999762773272607,2198
msvae,pearson,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0016267742890461235,-0.0018506598947379718,-0.0013931292756559992,2198
msvae,pearson,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-1.3918321820364094e-05,-0.00023841645894649046,0.00018621630301642573,2198
msvae,pearson,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.0006268766655284128,-0.0007729683184417668,-0.0004843746393747141,2198
msvae,pearson,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00275861096989577,0.002299911858606655,0.0032013295299643603,2198
msvae,pearson,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00041121252565843827,-1.4934560154753187e-05,0.0008418041833301883,2198
